time,rid,tid,rssi,distance
10:32.6,180174,18010553,82,2
10:34.8,180174,18010553,82,2
10:35.4,180174,18010553,82,2
10:37.3,180174,18010553,82,2
10:38.5,180174,18010553,82,2
10:39.4,180174,18010553,83,2
10:45.9,180174,18010553,82,2
10:49.9,180174,18010553,82,2
10:56.7,180174,18010553,82,2
11:01.0,180174,18010553,82,2
11:03.7,180174,18010553,82,2
11:17.1,180174,18010553,82,2
11:29.6,180174,18010553,82,2
11:36.4,180174,18010553,82,2
11:39.4,180174,18010553,81,2
11:51.5,180174,18010553,82,2
11:55.3,180174,18010553,82,2
12:04.3,180174,18010553,82,2
12:07.4,180174,18010553,82,2
12:17.1,180174,18010553,82,2
12:20.2,180174,18010553,82,2
12:26.0,180174,18010741,98,2
12:31.7,180174,18010553,82,2
12:43.0,180174,18010553,83,2
12:46.0,180174,18010553,83,2
12:48.0,180174,18010553,82,2
13:00.1,180174,18010553,82,2
13:01.6,180174,18010741,97,2
13:08.6,180174,18010553,82,2
13:11.4,180174,18010553,82,2
13:12.9,180174,18010553,82,2
13:15.9,180174,18010553,83,2
13:24.7,180174,18010553,82,2
13:27.7,180174,18010553,82,2
13:31.7,180174,18010553,82,2
13:35.8,180174,18010553,84,2
13:38.5,180174,18010553,82,2
13:43.5,180174,18010553,82,2
13:44.6,180174,18010741,82,2
13:45.6,180174,18010741,86,2
13:46.8,180174,18010741,89,2
13:48.8,180174,18010741,84,2
13:52.1,180174,18010553,82,2
13:53.1,180174,18010553,81,2
13:54.6,180174,18010553,81,2
13:56.4,180174,18010741,87,2
13:57.4,180174,18010741,83,2
13:59.6,180174,18010741,84,2
14:03.9,180174,18010741,84,2
14:07.1,180174,18010553,77,2
14:08.1,180174,18010553,77,2
14:09.0,180174,18010553,78,2
14:10.7,180174,18010741,84,2
14:13.0,180174,18010741,84,2
14:15.2,180174,18010553,78,2
14:18.3,180174,18010553,77,2
14:24.3,180174,18010741,84,2
14:24.8,180174,18010741,84,2
14:26.5,180174,18010741,84,2
14:27.7,180174,18010741,84,2
14:30.2,180174,18010741,84,2
14:35.5,180174,18010553,77,2
14:37.3,180174,18010553,78,2
14:38.2,180174,18010553,78,2
14:43.5,180174,18010553,77,2
14:46.2,180174,18010553,78,2
14:48.6,180174,18010741,84,2
14:49.6,180174,18010741,84,2
14:52.4,180174,18010741,84,2
14:53.6,180174,18010741,84,2
14:54.8,180174,18010741,85,2
14:55.8,180174,18010741,84,2
14:56.7,180174,18010741,84,2
14:57.9,180174,18010741,84,2
14:59.7,180174,18010741,84,2
15:00.5,180174,18010741,84,2
15:02.2,180174,18010553,78,2
15:05.5,180174,18010553,77,2
15:11.5,180174,18010553,78,2
15:12.5,180174,18010741,83,2
15:13.5,180174,18010741,85,2
15:15.0,180174,18010741,84,2
15:19.2,180174,18010741,84,2
15:28.3,180174,18010741,84,2
15:29.2,180174,18010741,84,2
15:30.1,180174,18010553,77,2
15:32.4,180174,18010553,78,2
15:33.5,180174,18010741,84,2
15:35.3,180174,18010741,84,2
15:40.9,180174,18010553,78,2
15:42.8,180174,18010553,78,2
15:44.5,180174,18010553,78,2
15:45.1,180174,18010553,78,2
15:48.1,180174,18010553,77,2
10/22/2018 13:15,180174,18010741,84,2
15:54.9,180174,18010741,84,2
15:55.8,180174,18010741,83,2
15:57.0,180174,18010741,84,2
15:58.1,180174,18010741,84,2
15:59.0,180174,18010741,85,2
16:00.0,180174,18010741,84,2
16:01.7,180174,18010741,84,2
16:04.1,180174,18010553,77,2
16:06.0,180174,18010553,77,2
16:06.7,180174,18010741,83,2
16:09.0,180174,18010553,78,2
16:10.5,180174,18010553,77,2
16:13.4,180174,18010553,77,2
16:19.7,180174,18010741,84,2
16:20.6,180174,18010741,84,2
16:23.3,180174,18010553,78,2
16:26.4,180174,18010553,77,2
16:27.1,180174,18010553,78,2
16:27.8,180174,18010553,77,2
16:32.9,180174,18010553,78,2
16:35.2,180174,18010741,84,2
16:36.6,180174,18010741,84,2
16:38.7,180174,18010741,84,2
16:42.2,180174,18010741,83,2
16:45.4,180174,18010553,77,2
16:48.2,180174,18010553,78,2
16:50.0,180174,18010553,78,2
16:54.2,180174,18010553,77,2
16:55.1,180174,18010741,84,2
16:55.8,180174,18010553,77,2
16:57.7,180174,18010741,84,2
16:58.5,180174,18010741,84,2
16:59.5,180174,18010741,84,2
17:01.1,180174,18010741,84,2
17:01.9,180174,18010741,84,2
17:04.9,180174,18010741,83,2
17:07.2,180174,18010553,77,2
17:08.0,180174,18010553,78,2
17:10.9,180174,18010553,78,2
17:11.6,180174,18010553,78,2
17:12.6,180174,18010741,84,2
17:13.8,180174,18010741,84,2
17:15.8,180174,18010741,84,2
17:17.4,180174,18010741,84,2
17:19.4,180174,18010553,78,2
17:20.4,180174,18010741,84,2
17:25.2,180174,18010741,84,2
17:28.6,180174,18010553,78,2
17:30.9,180174,18010741,84,2
17:32.1,180174,18010741,84,2
17:33.1,180174,18010741,84,2
17:34.3,180174,18010741,84,2
17:38.9,180174,18010741,84,2
17:41.9,180174,18010741,83,2
17:44.2,180174,18010553,78,2
17:45.2,180174,18010553,78,2
17:48.6,180174,18010741,84,2
17:49.1,180174,18010741,80,2
17:49.8,180174,18010741,86,2
17:53.9,180174,18010553,77,2
17:55.7,180174,18010553,78,2
18:00.4,180174,18010553,77,2
18:02.8,180174,18010741,84,2
18:04.5,180174,18010553,77,2
18:06.8,180174,18010741,84,2
18:07.6,180174,18010741,84,2
18:12.2,180174,18010553,78,2
18:13.2,180174,18010553,77,2
18:14.4,180174,18010553,77,2
18:15.8,180174,18010553,78,2
18:19.6,180174,18010553,77,2
18:23.2,180174,18010741,83,2
18:26.5,180174,18010741,84,2
18:27.5,180174,18010741,84,2
18:29.7,180174,18010741,84,2
18:30.5,180174,18010741,84,2
18:32.3,180174,18010741,84,2
18:33.3,180174,18010741,84,2
18:35.5,180174,18010741,84,2
18:36.8,180174,18010553,77,2
18:41.8,180174,18010741,84,2
18:43.8,180174,18010741,84,2
18:45.1,180174,18010553,77,2
18:50.3,180174,18010553,77,2
18:53.0,180174,18010553,77,2
18:54.2,180174,18010741,84,2
18:55.9,180174,18010553,77,2
18:57.1,180174,18010741,84,2
19:00.3,180174,18010553,78,2
19:01.2,180174,18010553,77,2
19:02.9,180174,18010741,84,2
19:04.7,180174,18010553,77,2
19:05.7,180174,18010553,77,2
19:06.7,180174,18010741,84,2
19:13.6,180174,18010741,84,2
19:14.6,180174,18010741,84,2
19:17.3,180174,18010741,84,2
19:19.3,180174,18010553,77,2
10/22/2018 13:19,180174,18010553,77,2
19:20.7,180174,18010553,77,2
19:21.5,180174,18010553,77,2
19:30.9,180174,18010553,77,2
19:33.2,180174,18010741,84,2
19:33.7,180174,18010741,83,2
19:34.1,180174,18010741,84,2
19:36.5,180174,18010553,77,2
19:38.4,180174,18010553,77,2
19:39.3,180174,18010741,84,2
19:41.0,180174,18010741,84,2
19:41.8,180174,18010741,84,2
19:47.0,180174,18010741,84,2
19:48.0,180174,18010553,78,2
19:48.9,180174,18010553,77,2
19:54.8,180174,18010741,85,2
19:56.8,180174,18010741,87,2
19:58.9,180174,18010553,78,2
20:00.1,180174,18010741,85,2
20:02.2,180174,18010741,85,2
20:08.5,180174,18010553,78,2
